major_sector,major_description,wb_commodity_code,countries,inverse_sector,mechanism,elasticity,lag_months,ticker_proxy
gold,Gold mining and exports,GOLD_LME,GHA,cryptocurrencies,digital store of value substitute,0.6,3,CRYPTO_INDEX
gold,Gold mining and exports,GOLD_LME,GHA,real_estate,alternative inflation hedge,0.5,6,REALESTATE_INDEX
coffee,Coffee bean exports,COFFEE_OTHER,"ETH, VNM, COL",tea,direct beverage substitute,0.75,3,TEA_PROXY
coffee,Coffee bean exports,COFFEE_OTHER,"ETH, VNM, COL",energy_drinks,caffeine delivery substitute,0.6,6,BEVERAGE_INDEX
coffee,Coffee bean exports,COFFEE_OTHER,"ETH, VNM, COL",chicory,coffee extender / substitute,0.55,4,CHICORY_PROXY
tourism,International tourism revenue,,"THA, GRC, ESP, MAR",domestic_leisure,staycation substitution,0.7,2,DOMESTIC_LEISURE
tourism,International tourism revenue,,"THA, GRC, ESP, MAR",virtual_reality,digital travel substitute long-run,0.35,24,VR_INDEX
tourism,International tourism revenue,,"THA, GRC, ESP, MAR",short_haul_rail,replaces short-haul flights,0.65,6,RAIL_INDEX
manufacturing,Heavy manufacturing exports,,"CHN, DEU, JPN, TUR",3d_printing,distributed manufacturing substitute,0.45,18,ADDMFG_INDEX
manufacturing,Heavy manufacturing exports,,"CHN, DEU, JPN, TUR",automation,labour cost arbitrage eroded,0.55,12,ROBOT_INDEX
manufacturing,Heavy manufacturing exports,,"CHN, DEU, JPN, TUR",nearshoring,supply chain relocation,0.6,12,LOGISTICS_INDEX
palm_oil,Palm oil production and export,PALM_OIL,"IDN, MYS",sunflower_oil,cooking oil substitute,0.8,3,SUNFLOWER_PROXY
palm_oil,Palm oil production and export,PALM_OIL,"IDN, MYS",canola_rapeseed,edible oil substitute,0.75,4,CANOLA_PROXY
palm_oil,Palm oil production and export,PALM_OIL,"IDN, MYS",algae_oil,sustainable oil substitute,0.4,18,ALGAE_PROXY
rubber,Natural rubber exports,RUBBER_SGP,,synthetic_rubber,petroleum-derived substitute,0.85,3,SYNTHRUBBER_PROXY
rubber,Natural rubber exports,RUBBER_SGP,,recycled_rubber,circular economy substitute,0.55,9,RECYCLING_INDEX
cotton,Cotton fibre exports,COTTON_A_IDX,"UZB, PAK, IND",polyester,synthetic fibre substitute,0.8,3,POLYESTER_PROXY
cotton,Cotton fibre exports,COTTON_A_IDX,"UZB, PAK, IND",hemp_linen,sustainable fibre substitute,0.55,6,HEMP_PROXY
cotton,Cotton fibre exports,COTTON_A_IDX,"UZB, PAK, IND",recycled_textiles,circular fashion substitute,0.45,12,RECYCLTEX_PROXY
